HallNumber,Name,longitude,latitude,Address,PhoneNumber,Engine,Ladder,Quint,Rescue,Medic
1,Vancouver Fire Hall No 1,-123.089633564924,49.2757557879455,900 Heatley Av,604-665-6001,Y,Y,,,Y
2,Vancouver Fire Hall No 2,-123.100028850031,49.2833989342976,199 Main St,604-665-6002,Y,,Y,,Y
3,Vancouver Fire Hall No 3,-123.1034324331,49.2599716555686,2801 Quebec St,604-665-6003,Y,Y,,Y,
4,Vancouver Fire Hall No 4,-123.137578980719,49.2628710568129,1475 W 10th Av,604-665-6004,,,Y,,Y
6,Vancouver Fire Hall No 6,-123.134786345561,49.2864877422972,1001 Nicola St,604-665-6006,Y,,Y,,
7,Vancouver Fire Hall No 7,-123.125930803993,49.2835249047582,1090 Haro St,604-665-6007,Y,Y,,Y,
8,Vancouver Fire Hall No 8,-123.117639437094,49.2780606555897,895 Hamilton St,604-665-6008,Y,,,,Y
12,Vancouver Fire Hall No 12,-123.173614488597,49.2647927430077,2460 Balaclava St,604-665-6012,Y,,Y,,Y
