Work Order ID,Status,Asset Type,Asset ID,Location ID,Created Date,Modified Date,Submitted Date,Closed Date,Fiscal Year,Work Type,Work Needed,Work Type Other,Work Requested By,Job Description,Problem Found,Action Taken,Follow-Up Needed,Child Work Order,Parent Work Order,Is Follow-Up,TMC Issue ID,Service Request #,Damage Report,Location Name,Latitude,Longitude,Location
WRK20-100515,Closed,Other / No Asset,,,12/09/2020 06:21:00 PM +0000,12/10/2020 05:31:00 PM +0000,12/09/2020 06:34:00 PM +0000,12/10/2020 05:31:00 PM +0000,2021,Trouble Call,Digtess,,311 Customer Service Request (CSR),,Digtess at 37th and Guadalupe for austin water department thought they hit our cable and it was Austin energy electric. Street light cable and conduit.,Informed the austin water department crew lead it was not ATD electric cable and was far away from intersection electric cables and conduit routes.,False,,,False,TMC20-215330,20-00500017,,,,,
WRK20-072955,Closed,No Asset / Unkown Location / Other,,,01/08/2020 03:37:00 AM +0000,01/10/2020 12:03:00 PM +0000,01/08/2020 04:46:00 AM +0000,01/10/2020 12:03:00 PM +0000,2020,Trouble Call,Digtess,,311,,No problem found,Dig is not near intersection. Closet intersection is Wickersham.,False,,,False,TMC20-169055,20-00008536,,,,,
WRK19-069485,Submitted,No Asset / Unkown Location / Other,,,11/20/2019 07:15:00 AM +0000,12/06/2019 08:42:00 PM +0000,11/20/2019 07:19:00 AM +0000,12/06/2019 08:42:00 PM +0000,2020,Trouble Call,Timing Issue,,311,"(Recv'd via mobile app) Traffic lights on MLK not synchronized correctly, Going west on MLK Boulevard, the traffic lights at the intersections with Chestnut Ave and Chicon St are not synchronized correctly (you always get both reds)",No problem found ,Drove EB on MLK from I-35 to Airport and each light I caught a green. Timing can be interfered with if a vehicle is on the side streets. No timing issue found. ,False,,,False,TMC19-160985,19-00443546,,,,,
WRK19-045555,Closed,Other / No Asset,,,04/01/2019 04:37:00 PM +0000,04/01/2019 05:21:00 PM +0000,04/01/2019 04:39:00 PM +0000,04/01/2019 05:21:00 PM +0000,2019,Trouble Call,Digtess,,311 Customer Service Request (CSR),Digtess Annie/ 3rd,no issue,dig will not interfere with operations,False,,,False,TMC19-110125,19-00111166,,,,,
WRK17-001165,Closed,Signal,607,LOC16-002980,05/04/2017 10:17:00 PM +0000,05/04/2017 10:23:00 PM +0000,,,2017,Trouble Call,Signal Out or on Flash,,Austin Transportation Staff,on flash,on flash blown breaker #3 due to a cover screw shorted phase 6 ped walk in the terminal pole wsr nwc.,replaced phase 6 ped load switch repaired shorted wire and installed shorter screws on the terminal cover,False,,,,TMC70-001960,17-00115878,, OAK KNOLL DR / RESEARCH BLVD SVRD,,,POINT (-97.7590485 30.4294701)
WRK20-095395,Submitted,Flashing Beacon,,LOC17-011135,09/28/2020 08:34:00 PM +0000,10/07/2020 02:16:00 PM +0000,09/28/2020 08:34:00 PM +0000,10/07/2020 02:16:00 PM +0000,2020,Trouble Call,Other,"Along WB MLK @ Adriane Dr, there is a signal ahead warning sign with flashing beacon. The flashing beacon attached to the sign has not been operating for 3-4 weeks.",Austin Transportation Staff,"Along WB MLK @ Adriane Dr, there is a signal ahead warning sign with flashing beacon. The flashing beacon attached to the sign has not been operating for 3-4 weeks.",,Transformer fuse blown. Notified AE.,False,,,False,TMC20-205785,20-00400119,,3600 BLK E MARTIN LUTHER KING JR BLVD,,,POINT (-97.694536 30.284119)
WRK18-015010,Closed,Flashing Beacon,,LOC17-010810,03/27/2018 06:37:00 PM +0000,05/04/2018 04:11:00 PM +0000,03/27/2018 07:49:00 PM +0000,05/04/2018 04:11:00 PM +0000,2018,Trouble Call,Knockdown,,COA Staff,,Advance warning beacon facing down. Advance warning sign flipped around on span wire causing signal beacon to face down.,Flipped advance warning sign to correct orientation of advance signal beacon. verified beacon was in proper orientation.,False,,,False,TMC18-049305,,, ENFIELD RD / ROCKMOOR AVE,,,POINT (-97.782285 30.295486)
WRK17-002160,Closed,Signal,844,LOC16-004155,09/06/2017 11:22:00 AM +0000,09/14/2017 09:00:00 PM +0000,09/06/2017 11:24:00 AM +0000,09/14/2017 09:00:00 PM +0000,2017,Trouble Call,Signal Out or on Flash,,MMC,"KITS
IN FLASH","phase 2, 4, 6 conflict","replaced phase 4 load switch
checked colors, peds, buttons, detection, & programs",False,,,,,,, GREAT HILLS TRL / STONELAKE BLVD,,,POINT (-97.7396469 30.3934135)
WRK18-015975,Submitted,Other / No Asset,,,04/06/2018 07:30:00 PM +0000,05/10/2018 06:04:00 PM +0000,04/06/2018 07:37:00 PM +0000,05/10/2018 06:04:00 PM +0000,2018,Scheduled Work,Repair - CCTV Camera,,Austin Transportation Staff,Check CCTV for proper insulation.,"That some of CCTV cat 5 RJ 49 with female end were expose to the weather, which is causing corrosion.
","Warp tape around cat 5 between pole and mounting bracket to ease the stress that was causing the cat 5 being pulled and to allow for a drip loop. Stuff cat 5 RJ 49 with the CCTV female connector as far up the camera neck as possible. 12 intersection #175, 199, 139, 146, 996, 919, 407, 4023, 434, 511, and 417
",False,,,False,,,,,,,
WRK19-058225,Closed,No Asset / Unkown Location / Other,,,07/20/2019 02:04:00 PM +0000,07/29/2019 03:09:00 PM +0000,07/21/2019 05:50:00 PM +0000,07/29/2019 03:09:00 PM +0000,2019,Trouble Call,Other,APD called in signal pole damage but no pole at location.,311,,SIgnal did not exist. It was a damaged street light.,N/A,False,,,False,TMC19-135015,19-00274762,,,,,
WRK21-108155,Closed,Flashing Beacon,,LOC21-017460,03/04/2021 04:20:00 PM +0000,03/09/2021 03:26:00 PM +0000,03/04/2021 08:40:00 PM +0000,03/09/2021 03:26:00 PM +0000,2021,Scheduled Work,Other,,MMC,Replaced old degraded batteries. ,Bad batteries causing pedestrian flasher not to come on. ,"Replaced bad batteries with 2 new 80 amp hour batteries. Programmed schedule to flash Monday- Sunday 6am-10pm, Corrected the TOD and set the clock to read local schedule. Checked flash function and LED. ",False,,,False,,,,15401 BLK AVERY RANCH BLVD (Mid Block),,,POINT (-97.768158 30.498257)
