layerName
syvyyskayransyvyysarvo
tiesymboli
kalliosymboli
muuntoasema
retkeilyalue
osoitepiste
jarvi
pelastuskoodipiste
putkijohto
urheilujavirkistysalue
puu
virtavesikapea
pato
rauhoitettukohde
sulkuportti
allas
korkeuskayra
tulvaalue
muuntaja
syvyyskayra
autoliikennealue
louhos
rautatie
suurjannitelinjanpylvas
vesikuoppa
suojanne
korkeuskayrankorkeusarvo
tieviiva
valtakunnanrajapyykki
koski
maatalousmaa
karttasymboli
kunnanhallintoraja
masto
ampumaalue
putkijohdonsymboli
viettoviiva
puurivi
merkittavaluontokohde
syvyyspiste
taytemaa
lahde
suo
metsamaanmuokkaus
tienroteksti
vedenottamo
mastonkorkeus
rakennusreunaviiva
savupiipunkorkeus
ulkojasisasaaristonraja
ilmarata
muistomerkki
vesikulkuvaylanteksti
matalikko
muuavoinalue
suojelualueenreunaviiva
kunnanhallintokeskus
luonnonpuisto
puisto
vesikivikko
vesikulkuvayla
vesiasteikko
lahestymisvalo
maastokuvionreuna
tulentekopaikka
kellotapuli
tuulivoimala
rakennus
varastoalue
vesikivi
niitty
uittolaite
vedenpinnankorkeusluku
turvalaite
suojametsa
rajavyohykkeentakaraja
lentokenttaalue
luonnonsuojelualue
kansallispuisto
hietikko
kivi
hylynsyvyys
sahkolinja
virtausnuoli
metsanraja
hautausmaa
kunta
virtavesialue
nakotorni
sahkolinjansymboli
kaatopaikka
savupiippu
maasto2kuvionreuna
rautatieliikennepaikka
aita
paikannimi
sisaistenaluevesienulkoraja
vesitorni
kallioalue
kolmiopiste
kalliohalkeama
maatuvavesialue
jyrkanne
uittoranni
portti
pistolaituriviiva
kaislikko
kivikko
aallonmurtaja
rakennelma
ankkuripaikka
taajaanrakennetunalueenreuna
ilmaradankannatinpylvas
maaaineksenottoalue
aidansymboli
hylky
korkeuskiintopiste
metsamaankasvillisuus
suojaalue
luiska
tervahauta
suojaalueenreunaviiva
soistuma
harvalouhikko
vesikulkuvaylankulkusuunta
aluemerenulkoraja
rautatiensymboli
taajaanrakennettualue
suojametsanreunaviiva
meri
tunnelinaukko
selite
