LINE,x,y
Canada Line,491606.40646324307,5454750.808010881
Canada Line,491606.76937617577,5454764.121932214
Canada Line,491613.087891108,5454986.744275363
Canada Line,491613.4993366081,5455011.720371819
Canada Line,491613.4490625595,5455015.6145058805
Canada Line,491612.39296888106,5455040.57165601
Canada Line,491606.89527282235,5455141.919046327
Canada Line,491605.9003837983,5455165.752665572
Canada Line,491605.847891203,5455169.963696621
Canada Line,491606.2817504106,5455194.957264904
Canada Line,491625.6739364967,5455857.435050042
Canada Line,491627.15037607285,5455896.396513699
Canada Line,491629.96780319116,5455935.284013341
Canada Line,491633.41019204404,5455987.402590474
Canada Line,491633.70212905976,5456039.36459929
Canada Line,491632.8782278816,5456126.609091946
Canada Line,491632.7227513933,5456146.60157517
Canada Line,491633.29155350075,5456203.994911948
Canada Line,491633.84323532437,5456223.980386481
Canada Line,491637.1507238444,5456336.971137247
Canada Line,491644.2556488602,5456569.950388499
Canada Line,491647.902359467,5456653.532946077
Canada Line,491649.4041663348,5456688.019592611
Canada Line,491651.53897003585,5456749.439729432
Canada Line,491655.2563882638,5456892.567863137
Canada Line,491655.57325144316,5456907.6778192
Canada Line,491655.4367333178,5456922.790480689
Canada Line,491654.99581525405,5456931.408619278
Canada Line,491654.2607491767,5456940.006665528
Canada Line,491653.23239314614,5456948.574582741
Canada Line,491651.91194758716,5456957.10236938
Canada Line,491650.3009538846,5456965.580070766
Canada Line,491648.4012925921,5456973.997790674
Canada Line,491644.4569888751,5456988.587301327
Canada Line,491640.0768325383,5457003.05193348
Canada Line,491609.43824599247,5457102.43605195
Canada Line,491600.3190675472,5457130.996867941
Canada Line,491596.91783721204,5457140.641563146
Canada Line,491593.1727159634,5457150.158000517
Canada Line,491589.08852755494,5457159.533922788
Canada Line,491584.6705324596,5457168.7572536785
Canada Line,491579.8750684061,5457177.75686106
Canada Line,491574.8009827567,5457186.602371971
Canada Line,491569.45322206244,5457195.285163229
Canada Line,491461.7026883572,5457359.579353498
Canada Line,491435.18760168686,5457401.560240497
Canada Line,491422.3390626557,5457423.8615064835
Canada Line,491410.21416729357,5457446.564333009
Canada Line,491398.8254519497,5457469.645246824
Canada Line,491388.184691817,5457493.080383767
Canada Line,491378.30288875144,5457516.845513432
Canada Line,491369.1902598932,5457540.916064217
Canada Line,491309.41611437936,5457717.844988859
Canada Line,491304.6590672101,5457733.109967615
Canada Line,491299.378693268,5457748.20191001
Canada Line,491293.58126773185,5457763.10288083
Canada Line,491287.2736802406,5457777.795171811
Canada Line,491280.46342671383,5457792.2613226855
Canada Line,491273.1586004303,5457806.484141927
Canada Line,491265.36788242176,5457820.446727186
Canada Line,491259.87279670435,5457828.890085976
Canada Line,491246.3543083652,5457846.525884043
Canada Line,491232.1831119141,5457863.641610485
Canada Line,491217.3791969273,5457880.213122231
Canada Line,491201.9634454838,5457896.217043874
Canada Line,491185.95760270214,5457911.630800632
Canada Line,490983.4032340527,5458111.554137639
Canada Line,490972.47106958146,5458122.311519344
Canada Line,490961.957129252,5458133.478011183
Canada Line,490951.8767116465,5458145.037365062
Canada Line,490947.4699251398,5458150.669846297
Canada Line,490943.2610233366,5458156.451693562
Canada Line,490939.2550647398,5458162.375957897
Canada Line,490935.4568639451,5458168.435519175
Canada Line,490931.8709858477,5458174.623094664
Canada Line,490928.50174016634,5458180.931247778
Canada Line,490925.3531762545,5458187.352397011
Canada Line,490922.42907824024,5458193.878825053
Canada Line,490919.7329604752,5458200.5026880605
Canada Line,490917.2680633088,5458207.216025096
Canada Line,490915.0373492009,5458214.010767677
Canada Line,490913.0434991483,5458220.878749486
Canada Line,490911.28890947934,5458227.811716187
Canada Line,490909.775688961,5458234.801335335
Canada Line,490908.5056562713,5458241.839206401
Canada Line,490907.48033780453,5458248.91687086
Canada Line,490906.70096585376,5458256.025822369
Canada Line,490906.1684771101,5458263.157516972
Canada Line,490905.883511549,5458270.303383387
Canada Line,490905.84641166095,5458277.454833292
Canada Line,490906.05722203385,5458284.603271664
Canada Line,490906.5156893038,5458291.740107093
Canada Line,490907.22126245714,5458298.856762116
Canada Line,490908.1730934959,5458305.944683522
Canada Line,490909.370038454,5458312.995352633
Canada Line,490910.8106587729,5458320.000295551
Canada Line,490912.49322303175,5458326.951093322
Canada Line,490914.415709028,5458333.839392082
Canada Line,490916.57580620475,5458340.656913065
Canada Line,490918.9709184334,5458347.395462582
Canada Line,490921.59816712746,5458354.046941852
Canada Line,490924.454394707,5458360.603356739
Canada Line,490927.5361683927,5458367.056827365
Canada Line,490930.83978432807,5458373.399597574
Canada Line,490934.36127203685,5458379.624044255
Canada Line,490938.096399192,5458385.722686506
Canada Line,490942.040676697,5458391.688194627
Canada Line,490946.1893640923,5458397.513398919
Canada Line,490950.5374752444,5458403.191298319
Canada Line,490960.5257104681,5458414.829163663
Canada Line,490970.9225952751,5458426.103450286
Canada Line,490981.7149046756,5458436.99981713
Canada Line,491468.20717572223,5458927.241197499
Canada Line,491552.70900099305,5459012.394228559
Canada Line,491799.41372468846,5459261.000160213
Expo Line,491872.35153254925,5459263.897276518
Expo Line,491783.063716535,5459316.838335471
Expo Line,491708.90946393384,5459360.703754312
Expo Line,491652.9154621988,5459389.443160992
Expo Line,491609.0282733539,5459415.157365245
Expo Line,491565.1410214453,5459433.3085798295
Expo Line,491524.28052005643,5459451.459794414
Expo Line,491477.366643756,5459463.5606041355
Expo Line,491428.93932913156,5459481.7118187295
Expo Line,491383.53876502655,5459490.787426019
Expo Line,491339.6515761827,5459489.274808393
Expo Line,491304.8445127711,5459478.686616298
Expo Line,491274.5774490123,5459463.560604137
Expo Line,491248.85044797295,5459436.333782264
Expo Line,491235.23025982175,5459407.594375578
Expo Line,491223.1234469308,5459374.317148838
Expo Line,491223.12344693096,5459339.527337295
Expo Line,491226.1501974519,5459313.813133042
Expo Line,491238.25701034284,5459286.586311162
Expo Line,491257.93057340564,5459256.3342868555
Expo Line,491534.5742088592,5458990.962739173
Expo Line,491736.12284833496,5458789.514147886
Expo Line,491835.9892816615,5458687.882432662
Expo Line,491885.01464344136,5458647.048256089
Expo Line,491942.21085681143,5458608.028951503
Expo Line,492030.27489289746,5458529.08288993
Expo Line,492031.2534753839,5458528.7732499065
Expo Line,492110.03835230944,5458449.370360148
Expo Line,492178.13916693296,5458391.891513958
Expo Line,492229.59316901636,5458358.614287217
Expo Line,492271.9669826002,5458346.513477492
Expo Line,492308.28748433624,5458341.9756902605
Expo Line,492349.14798572334,5458334.412667768
Expo Line,492426.32892578305,5458319.286655614
Expo Line,492461.578895992,5458302.975194506
Expo Line,492479.29624006076,5458289.034664126
Expo Line,492500.11323800625,5458268.248374509
Expo Line,492517.1300539923,5458245.169212465
Expo Line,492531.06701857067,5458207.002903296
Expo Line,492540.5426888505,5458168.4876951715
Expo Line,492545.883742489,5458096.934358998
Expo Line,492561.0172428356,5457954.749844739
Expo Line,492567.0706808139,5457903.321436238
Expo Line,492579.17749370396,5457876.094614357
Expo Line,492592.79768185463,5457859.456017399
Expo Line,492607.9311822017,5457850.380410106
Expo Line,492635.17149543896,5457836.766982752
Expo Line,492659.38512121903,5457832.229195518
Expo Line,492685.11212225916,5457827.691375458
Expo Line,492728.99931110366,5457817.103183363
Expo Line,492826.29375696206,5457780.031167589
Expo Line,492920.1215726286,5457737.6783335535
Expo Line,493243.97895933833,5457648.4348782515
Expo Line,493664.6907861081,5457541.040208363
Expo Line,493984.0081101023,5457439.695943334
Expo Line,494058.1623627052,5457403.393546989
Expo Line,494111.12967698294,5457358.015510523
Expo Line,494148.96349091385,5457311.124889255
Expo Line,494168.6370539771,5457280.872864943
Expo Line,494201.9308051915,5457217.343613892
Expo Line,494233.71118114615,5457164.402587762
Expo Line,494275.0336350191,5457109.1542789545
Expo Line,494349.1878876205,5457051.675432765
Expo Line,494662.4517736371,5456897.390141609
Expo Line,494860.7009056647,5456800.583696643
Expo Line,494915.18159520265,5456774.869492392
Expo Line,494945.44859589596,5456750.667872941
Expo Line,494957.55540878617,5456734.029243158
Expo Line,494969.6622847424,5456691.676441949
Expo Line,494971.1755969379,5456664.449620069
Expo Line,494972.688972199,5456628.147190898
Expo Line,494971.1755969383,5456563.105355044
Expo Line,494974.2022843934,5456505.626541682
Expo Line,494968.3619436777,5456029.884581438
Expo Line,494971.3886311351,5455972.405768076
Expo Line,494975.9286938508,5455928.540316415
Expo Line,494981.98213182966,5455890.725302436
Expo Line,494991.0621941979,5455861.985895756
Expo Line,495003.1690070884,5455824.170881779
Expo Line,495019.8158826956,5455795.431442272
Expo Line,495053.1096339099,5455744.003033768
Expo Line,495245.6260774935,5455519.373194098
Expo Line,495274.37976599036,5455487.608584986
Expo Line,495300.1067670329,5455467.9447527705
Expo Line,495931.1746017827,5455059.542523058
Expo Line,496658.22430668067,5454607.897141654
Expo Line,497017.40046771854,5454375.883012657
Expo Line,497530.4267979578,5454050.673800558
Expo Line,497681.7620536834,5453958.405142825
Expo Line,499103.5578987473,5452965.300390073
Millennium Line,494036.1061338611,5457065.27451551
Millennium Line,494261.09559833154,5457002.913447357
Millennium Line,494370.7542891673,5456978.346975907
Millennium Line,494442.5996622574,5456948.111298542
Millennium Line,494503.10105894157,5456923.544827099
Millennium Line,494703.5118132726,5456830.9481144035
Millennium Line,494781.0292060983,5456791.263804277
Millennium Line,494867.99988105847,5456761.02812691
Millennium Line,494913.3759128073,5456744.020574806
Millennium Line,494966.314595491,5456715.674610865
Millennium Line,495021.14397244167,5456687.328679747
Millennium Line,495501.373568193,5456388.751497067
Millennium Line,495663.97094171355,5456288.595832204
Millennium Line,495776.7748194889,5456216.963223195
Millennium Line,495851.218478229,5456176.969601292
Millennium Line,495908.9123389767,5456152.787414356
Millennium Line,495973.12001356034,5456136.045910427
Millennium Line,496049.42485205986,5456125.814987711
Millennium Line,496112.70193676156,5456121.164544418
Millennium Line,496193.65947239846,5456130.46539817
Millennium Line,496331.38027890614,5456160.228097361
Millennium Line,496700.8071182893,5456241.145410131
Millennium Line,496755.25558151765,5456253.176761752
Millennium Line,496942.2953182474,5456283.869529902
Millennium Line,497113.51584686554,5456315.49239984
Millennium Line,497401.98515061126,5456375.017798214
Millennium Line,497450.3735540179,5456387.108891683
Millennium Line,497509.92846839724,5456405.710566364
Millennium Line,497607.6358020234,5456446.634290058
Millennium Line,497679.73904865765,5456476.68322491
Millennium Line,497862.12608824717,5456564.111118897
Millennium Line,497904.9312046353,5456588.29330583
Millennium Line,497954.250134857,5456608.755184089
Millennium Line,497992.4024910421,5456618.056005018
Millennium Line,498037.06872412487,5456628.286927733
Millennium Line,498079.23890022276,5456632.068914948
Millennium Line,498128.55783044355,5456633.929085695
Millennium Line,498575.2199720761,5456621.837992227
Millennium Line,498727.82952294505,5456617.187581764
Millennium Line,498782.7317401845,5456620.907923267
Millennium Line,498815.30087241624,5456628.348606269
Millennium Line,498842.2867176285,5456644.160008415
Millennium Line,498862.75868594187,5456662.761715923
Millennium Line,498880.43907381326,5456682.293492393
Millennium Line,498892.5361746639,5456706.475679329
Millennium Line,498901.8416320058,5456727.867593726
Millennium Line,498916.7303763675,5456773.441727882
Millennium Line,498927.8969504035,5456806.924768568
Millennium Line,498941.85510488576,5456832.967126257
Millennium Line,498966.0493065906,5456865.520065156
Millennium Line,498989.3129814786,5456888.772183127
