CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE
Bau-Xi Gallery,www.bau-xi.com,Museum/Gallery,Museum/Gallery,"3045 Granville St, Vancouver, BC, V6H 3J9",Fairview,Privately Owned,,,Yes
BC Place Stadium,www.bcplacestadium.com,Community Space,Arena/Stadium,"777 Pacific Blvd, Vancouver, BC, V6B 4Y8",Downtown,Privately Owned,247000,,Yes
BC Sports Hall of Fame Museum,www.bcsportshalloffame.com,Museum/Gallery,Museum/Gallery,"777 Pacific Blvd S, Vancouver, BC, V6B 4Y8",Downtown,Government,15000,,Yes
Beaty Biodiversity Museum,http://www.beatymuseum.ubc.ca/about,Museum/Gallery,Museum/Gallery,"2212 Main Mall, Vancouver, BC, V6T 1Z4",UBC,Other,20000,,Yes
Bill Reid Gallery,www.billreidgallery.ca,Museum/Gallery,Museum/Gallery,"639 Hornby St, Vancouver, BC, V6C 2G3",Downtown,Privately Owned,9000,,Yes
Biltmore Cabaret,www.biltmorecabaret.com?,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"2755 Prince Edward St, Vancouver, BC, V5T 0A9",Mount Pleasant,Privately Owned,,,Yes
Bloedel Conservatory,http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx,Museum/Gallery,Garden/Aquarium/Science Centre,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Vancouver Park Board/COV,19600,,Yes
Blue Wave Productions,www.bluewaveproductions.com/?,Studio/Rehearsal ,Film/Recording Studio,"34 W 8th Av, Vancouver, BC, V5Y 1M7",Mount Pleasant,Privately Owned,3475,,Yes
BMO Theatre Centre,,Theatre/Performance,Theatre,"162 W 1st Av, Vancouver, BC, V5Y 1A4",Mount Pleasant,City of Vancouver,44500,250,Yes
BMO Theatre Centre - Workshop,,Studio/Rehearsal ,Workshop,"162 W 1st Av, Vancouver, BC, V5Y 1A4",Mount Pleasant,City of Vancouver,,,Yes
Britannia Community Services Centre Society,www.britanniacentre.org,Community Space,Community Centre/Hall,"1661 Napier St, Vancouver, BC, V5L 4X4",Grandview-Woodland,City of Vancouver,,,Yes
