longitude,latitude,elevation,StationID,Power,Quality,num_measures,Code,recorded_tstamp
-123.123649,49.278838,29,31160,-67.2203,-19.4771,1,ABC3114631160,01-DEC-2011 22:25:28
-123.134148,49.270844,6,6402,-107.2333,-6.8119,1,ABD063886402,05-DEC-2011 18:27:56
-123.131302,49.264962,30,5607,-73.9915,-13.2637,3,ABD055935607,05-DEC-2011 17:00:18
-123.104993,49.260733,55,31375,-67.8884,-14.7378,2,ABC3136131375,03-DEC-2011 13:27:14
-123.135161,49.293719,7,6522,-101.2924,-17.1396,1,ABD065086522,04-DEC-2011 16:09:22
-123.181175,49.258863,47,30025,-61.7056,-8.2971,4,ABC3001130025,06-DEC-2011 14:50:03
-123.117517,49.282104,36,31920,-74.9521,-18.5541,6,ABC3190631920,05-DEC-2011 01:40:08
-123.147889,49.270133,12,36636,-69.1557,-12.8044,2,ABD36636636,07-DEC-2011 16:07:17
-123.086447,49.271659,7,31267,-76.8847,-20.8752,1,ABC3125331267,06-DEC-2011 16:46:08
-123.122193,49.267567,4,286,-83.3303,-21.7810,1,ABC0027286,06-DEC-2011 21:41:04
-123.112232,49.262209,33,30245,-77.2334,-8.1022,2,ABC3023130245,04-DEC-2011 16:11:51
-123.133505,49.272309,0,30740,-63.6029,-13.3764,1,ABC3072630740,01-DEC-2011 23:22:17
-123.132041,49.264405,39,896,-87.8823,-13.6930,3,ABC0088896,06-DEC-2011 21:41:05
-123.087181,49.280547,18,1265,-59.8470,-13.6059,1,ABC012511265,01-DEC-2011 23:34:09
-123.155148,49.258254,41,5287,-87.6404,-21.6505,2,ABD052735287,05-DEC-2011 21:24:09
-123.116523,49.259477,51,31058,-74.8930,-18.1609,2,ABC3104431058,05-DEC-2011 01:47:04
-123.144852,49.303009,24,35595,-66.7246,-18.8315,3,ABD3558135595,07-DEC-2011 14:51:57
-123.091721,49.28395,15,36612,-95.9403,-20.6551,1,ABD3659836612,04-DEC-2011 14:32:03
-123.139468,49.283143,21,36082,-98.8519,-10.2748,1,ABD3606836082,05-DEC-2011 21:15:08
-123.121254,49.271863,9,30278,-34.5182,-21.9832,1,ABC3026430278,01-DEC-2011 21:32:18
-123.179618,49.265132,20,35323,-112.7530,-21.4013,1,ABD3530935323,05-DEC-2011 18:52:17
-123.07764,49.27404,6,43527,-73.1552,-19.5345,1,ABD4351343527,02-DEC-2011 19:06:08
-123.084118,49.269299,7,31967,-66.4334,-11.4114,3,ABC3195331967,03-DEC-2011 01:01:34
-123.104365,49.280995,8,36963,-77.2457,-9.2020,1,ABD3694936963,04-DEC-2011 00:22:45
-123.094896,49.276675,10,5256,-43.8768,-13.9121,11,ABD05245256,04-DEC-2011 00:17:13
-123.120073,49.257472,55,31916,-61.4682,-15.8718,4,ABC319031916,04-DEC-2011 20:13:13
-123.174013,49.263165,21,35977,-79.4928,-13.5934,1,ABD3596335977,04-DEC-2011 00:40:37
-123.095813,49.259327,54,929,-70.3220,-17.2003,2,ABC00915929,05-DEC-2011 18:11:54
-123.113107,49.257677,53,36317,-54.3742,-11.8967,12,ABD3630336317,01-DEC-2011 22:39:33
-123.145711,49.264983,35,31548,-56.6233,-17.2989,1,ABC3153431548,01-DEC-2011 20:12:05
-123.127494,49.285664,41,32315,-70.4819,-19.1472,5,ABC3230132315,03-DEC-2011 01:05:49
-123.152523,49.269009,29,30976,-59.6805,-20.3938,1,ABC309630976,05-DEC-2011 20:28:03
-123.149003,49.259078,49,35486,-78.0420,-20.3448,1,ABD354735486,04-DEC-2011 16:23:32
-123.080789,49.2697,7,37057,-67.7658,-6.1121,3,ABD3704337057,03-DEC-2011 14:53:48
-123.134973,49.278652,20,286,-67.6896,-16.8186,3,ABC0027286,06-DEC-2011 01:34:02
-123.123282,49.277348,26,40529,-70.8976,-20.5593,1,ABC4051540529,01-DEC-2011 19:52:16
-123.100933,49.257507,54,35602,-114.8493,-19.6698,1,ABD3558835602,05-DEC-2011 18:11:30
-123.135896,49.291775,15,31961,-59.0399,-20.8649,2,ABC3194731961,04-DEC-2011 14:29:54
-123.095062,49.267263,14,31355,-63.4555,-12.7449,2,ABC3134131355,04-DEC-2011 00:01:36
-123.091112,49.25903,51,40118,-44.1318,-14.3263,2,ABC4010440118,03-DEC-2011 01:25:20
-123.177908,49.262461,19,35977,-68.8548,-15.7873,2,ABD3596335977,04-DEC-2011 00:40:37
-123.116458,49.279184,26,32335,-53.2126,-19.8985,1,ABC3232132335,05-DEC-2011 18:12:10
-123.098582,49.279462,13,43146,-92.8680,-20.3471,1,ABD431343146,05-DEC-2011 22:15:48
-123.122423,49.280959,32,1439,-75.8455,-11.5592,2,ABC014251439,06-DEC-2011 17:28:46
-123.168412,49.265556,22,31559,-54.8265,-16.5687,2,ABC3154531559,02-DEC-2011 22:44:46
-123.146352,49.273043,10,36607,-78.8811,-12.9902,3,ABD3659336607,06-DEC-2011 17:38:25
-123.123018,49.285656,36,35976,-80.6895,-17.3695,1,ABD359635976,04-DEC-2011 00:40:37
-123.145315,49.261819,41,1209,-64.9538,-8.9282,2,ABC011951209,04-DEC-2011 16:12:58
-123.143295,49.266211,23,260,-47.1936,-7.1146,6,ABC00246260,02-DEC-2011 00:15:58
-123.120834,49.281976,33,36116,-73.0326,-14.4528,3,ABD361036116,03-DEC-2011 14:54:16
-123.164842,49.259264,24,31626,-82.4604,-17.1438,2,ABC316131626,03-DEC-2011 15:18:36
-123.157493,49.268538,43,6205,-62.4259,-19.2403,1,ABD061916205,01-DEC-2011 17:22:43
-123.157075,49.272613,9,35977,-78.6206,-13.0502,1,ABD3596335977,04-DEC-2011 00:41:14
-123.105695,49.277987,5,1329,-59.8475,-22.6228,1,ABC013151329,01-DEC-2011 23:51:13
-123.154971,49.272619,9,1516,-59.5857,-16.5781,35,ABC01501516,01-DEC-2011 17:24:53
-123.080581,49.260552,36,31336,-62.6255,-12.0836,6,ABC31331336,01-DEC-2011 20:23:08
-123.166442,49.262252,28,36535,-61.1073,-19.7918,1,ABD3652136535,02-DEC-2011 22:22:08
