Place,2017-18 FY Attendance
Gros Morne National Park,"238,540"
Terra Nova National Park,"46,668"
Prince Edward Island National Park,"695,025"
Cape Breton Highlands National Park,"333,746"
Kejimkujik National Park and Historic Site,"60,649"
