longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.179716,49.267863,20,31953,-61.256,-19.9851,2,12/4/2011 14:06,ABC,273203216,"{ ""StationID"" : ""31953"", ""Power"" : ""-61.2560"", ""Quality"" : ""-19.9851"" }"
-123.112149,49.269141,8,36697,-67.4691,-12.4177,2,12/2/2011 18:55,ABD,341864358,"{ ""StationID"" : ""36697"", ""Power"" : ""-67.4691"", ""Quality"" : ""-12.4177"" }"
-123.138468,49.261709,46,32056,-74.5306,-16.3616,3,12/5/2011 21:02,ABC,128444605,"{ ""StationID"" : ""32056"", ""Power"" : ""-74.5306"", ""Quality"" : ""-16.3616"" }"
-123.177595,49.271122,18,6505,-69.7729,-16.5679,2,12/4/2011 0:31,ABD,5339286,"{ ""StationID"" : ""6505"", ""Power"" : ""-69.7729"", ""Quality"" : ""-16.5679"" }"
-123.185842,49.264793,15,35275,-72.8547,-12.2399,3,12/2/2011 19:12,ABD,427751708,"{ ""StationID"" : ""35275"", ""Power"" : ""-72.8547"", ""Quality"" : ""-12.2399"" }"
-123.087375,49.276156,8,1268,-56.6447,-13.5461,1,12/1/2011 23:34,ABC,22943215,"{ ""StationID"" : ""1268"", ""Power"" : ""-56.6447"", ""Quality"" : ""-13.5461"" }"
-123.183904,49.261037,24,43132,-97.373,-20.9342,2,12/7/2011 20:25,ABD,414314123,"{ ""StationID"" : ""43132"", ""Power"" : ""-97.3730"", ""Quality"" : ""-20.9342"" }"
-123.141944,49.270605,12,1716,-80.3316,-22.8157,1,12/4/2011 16:09,ABC,186963467,"{ ""StationID"" : ""1716"", ""Power"" : ""-80.3316"", ""Quality"" : ""-22.8157"" }"
-123.089206,49.256419,55,1267,-88.4182,-14.7408,2,12/7/2011 14:23,ABC,131693689,"{ ""StationID"" : ""1267"", ""Power"" : ""-88.4182"", ""Quality"" : ""-14.7408"" }"
-123.104708,49.267531,12,30548,-75.657,-15.5906,2,12/7/2011 16:12,ABC,266899653,"{ ""StationID"" : ""30548"", ""Power"" : ""-75.6570"", ""Quality"" : ""-15.5906"" }"
-123.152562,49.27361,6,900,-64.0064,-8.8661,1,12/6/2011 21:37,ABC,70261741,"{ ""StationID"" : ""900"", ""Power"" : ""-64.0064"", ""Quality"" : ""-8.8661"" }"
